FilePath,#triples,Property,Aspect,Characteristic,Entity,Constraint,AbstractEntity,AbstractProperty,Collection,Trait,Set,Quantifiable,RangeConstraint,RegularExpressionConstraint,description,exampleValue,see,preferredName,unit,maxValue,minValue,upperBoundDefinition,lowerBoundDefinition,constraint,baseCharacteristic,value
io.catenax.batch/2.0.1/Batch.ttl,167,11,1,7,3,0,0,0,0,2,1,0,0,2,28,8,2,28,0,0,0,0,0,2,2,0
io.catenax.electric_drive.electric_drive_passport/2.0.0/ElectricDrivePassport.ttl,584,45,1,17,15,0,0,0,0,1,0,0,0,1,92,26,0,92,8,0,0,0,0,1,1,0
io.catenax.shopfloor_information.get_production_tracking/1.0.0/GetProductionTracking.ttl,188,16,1,2,3,0,0,0,0,0,0,0,0,0,27,11,0,27,0,0,0,0,0,0,0,0
io.catenax.shared.recycling_strategy_certificate/2.2.0/RecyclingStrategyCertificate.ttl,40,4,1,1,1,0,0,0,0,0,0,0,0,0,6,3,0,7,0,0,0,0,0,0,0,0
io.catenax.item_stock/2.0.0/ItemStock.ttl,148,13,1,4,3,0,0,0,0,0,2,1,0,0,25,9,2,25,0,0,0,0,0,0,0,0
io.catenax.manufacturing_capability/3.4.0/ManufacturingCapability.ttl,64,4,1,0,3,0,1,0,0,0,3,0,0,0,12,1,1,12,0,0,0,0,0,0,0,0
io.catenax.just_in_sequence_part/2.0.0/JustInSequencePart.ttl,178,13,1,7,3,0,0,0,0,1,1,0,0,1,28,10,2,28,0,0,0,0,0,1,1,0
io.catenax.packing_list/1.0.0/PackingList.ttl,114,9,1,5,4,0,0,0,0,0,1,0,0,0,20,4,0,20,0,0,0,0,0,0,0,0
io.catenax.electric_drive.electric_drive_passport/1.2.0/ElectricDrivePassport.ttl,29,1,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
io.catenax.asset_tracker_links/2.0.0/AssetTrackerLinks.ttl,67,6,1,2,1,0,0,0,0,0,1,0,0,0,11,5,0,11,0,0,0,0,0,0,0,0
io.catenax.packing_list/1.1.0/PackingList.ttl,84,6,1,3,4,0,0,0,0,0,1,0,0,0,15,2,0,15,0,0,0,0,0,0,0,0
io.catenax.shared.part_classification/1.0.0/PartClassification.ttl,51,4,1,2,1,0,0,0,0,0,0,0,0,0,9,3,0,9,0,0,0,0,0,0,0,0
io.catenax.mandatory_dismantling/1.0.0/MandatoryDismantling.ttl,76,5,1,2,1,0,0,0,0,2,0,0,0,2,11,4,2,11,0,0,0,0,0,2,2,0
io.catenax.refurbishing_certificate/3.0.0/RefurbishingCertificate.ttl,18,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
io.catenax.material_flow_scenario_request/1.1.0/MaterialFlowScenarioRequestAspect.ttl,117,10,1,4,3,0,0,0,0,0,0,0,0,0,19,6,0,19,0,0,0,0,0,0,0,0
io.catenax.shared.recycling_strategy_certificate/2.1.0/RecyclingStrategyCertificate.ttl,54,6,1,1,1,0,0,0,0,0,0,0,0,0,8,5,0,9,0,0,0,0,0,0,0,0
io.catenax.essincident/2.2.0/EssIncident.ttl,266,18,1,3,1,0,0,0,0,4,0,0,0,4,34,16,0,34,0,0,0,0,0,4,4,0
io.catenax.material_flow_scenario_request/1.0.0/MaterialFlowScenarioRequestAspect.ttl,221,22,1,6,4,0,0,0,0,0,0,0,0,0,34,16,0,34,0,0,0,0,0,0,0,0
io.catenax.batch/2.0.0/Batch.ttl,177,11,1,8,3,0,0,0,0,3,1,0,0,3,31,8,3,31,0,0,0,0,0,3,3,0
io.catenax.shared.part_site_information_as_built/2.1.0/PartSiteInformationAsBuilt.ttl,13,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0
io.catenax.shared.secondary_material_content/1.0.0/SecondaryMaterialContent.ttl,416,29,1,15,15,0,0,0,0,2,2,3,1,1,70,12,4,70,1,1,1,1,1,2,2,0
io.catenax.essincident/2.0.0/EssIncident.ttl,496,38,1,6,1,0,0,0,0,7,0,0,0,7,65,34,1,65,0,0,0,0,0,7,7,0
io.catenax.shared.secondary_material_content/1.2.0/SecondaryMaterialContent.ttl,90,6,1,3,3,0,0,0,0,1,2,0,0,1,16,3,4,16,0,0,0,0,0,1,1,0
